"No","TreeId","Address","Location","Species","Height","Trunk Diameter","Defects","Comments","Age Range","Vitality","Soil Type","Tree Image"
"1","DC007","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Vitality","Peaty","| http://treespower.com.sg/treespower/public/uploads/Tree_Images/1828treesImage.jpg | http://treespower.com.sg/treespower/public/uploads/Tree_Images/4566treesImage.jpg | http://treespower.com.sg/treespower/public/uploads/Tree_Images/3318treesImage.jpg"
"2","11","88","aa","bbbb","jhj","100","hhjh","hjhj","Age Range","Vitality","Soil Type","| http://treespower.com.sg/treespower/public/uploads/Tree_Images/6450treesImage.jpg"
"3","10","12","Raiya Road,Rajkot","Rajkot","sdas","Pinusradiata","15m","535mm","Dead is limbs in excess","","Vitality",""
"4","9","13","1","eerer","rere","reerre","3re","reerre","Age Range","Vitality","Soil Type","| http://treespower.com.sg/treespower/public/uploads/Tree_Images/7365treesImage.jpg | http://treespower.com.sg/treespower/public/uploads/Tree_Images/2176treesImage.jpg"
"5","8","14","ddfdsfsf","aassdads","rere","reerre","3re","reerre","reerre","Age Range","Vitality",""
"6","7","15","88 123456789qwertyuiop zxcvbnm","fdfdfd","rrrr","uiuui","trrtrt","rtrttrrt","rtrttr","11 to 30 years","Vitality",""
"7","6","858","jgdgdjdd ewgewugewjew","fffd","fddf","fddfdf","fdfd","fddf","fddf","0 to 10 years","Healthy",""
"8","5","fdfdfd","fddfdf","fdffd","fdfdfd","fdfd","ffdfd","fddfdf","fddf","0 to 10 years","Healthy",""
"9","4","98","Navrangpura swstic 4 rasta,Ahemdabad","Rajkot","f","e","525 mm","q","Remove deadwood 100mm and larger.","0 to 10 years","Healthy",""
"10","3","ytyt","50 Playd=fiar Road Noel Building #05-03 Singapore 365995","ytytyt","yttyty","3434","65656556","hghghg","hggh","0 to 10 years","Healthy",""
