"TreeId","Address","Location","Species","Height (meter)","Width (meter)","Date Planted","Comments","Age Range","Vitality","Soil Type","Tree Image"
"52555","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","2022-02-02","dsfsdfdsfsdf","0 to 10 years","Weak","Chalky",""
"6522","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","2022-02-02","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"5455","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","2022-02-02","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"5252","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","2022-02-02","dsfsdfdsfsdf","0 to 10 years","Weak","Chalky",""
"45685","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","2022-02-02","dsfsdfdsfsdf","0 to 10 years","Weak","Chalky",""
"252252125","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","2022-02-02","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"252125","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","2022-02-02","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"45526252","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","2022-02-02","dsfsdfdsfsdf","0 to 10 years","Weak","Chalky",""
"75455552555","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","2022-02-02","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"754552555","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","2022-02-02","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"123456","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"DC1ccxm","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"2345","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"123","dsfdsds","dsfds","dsfdsf","20","20","0000-00-00","dsfsfsd","0 to 10 years","Healthy","Sandy",""
"dsfsfsdcxx","d","d","d","43","d","0000-00-00","d","0 to 10 years","Weak","Chalky",""
"1alah","50 playfair road","macpherson","species","10","180","0000-00-00","uvhvh","11 to 30 years","Vitality","Chalky",""
"111lah","50 Playfair Road #05-03 Noel Building Singapore 367995","macpherson","spec","10","15","0000-00-00","dffdd","0 to 10 years","Healthy","Clay",""
"155","playfair road","macpherson","specied","100","18","0000-00-00","","11 to 20 years","strong","Chalky",""
"TR1","Testing","Rajkot","12","50","50","0000-00-00","Testing comment","31 to 50 years","Healthy","Sandy",""
"188lah","50 Playfair Road #05-03 Noel Building Singapore 367995","macpherson","spec","50","525","0000-00-00","","1 to 10 years","strong","Chalky",""
"ddddddd","new york","down street","no species","17","17777","0000-00-00","no comments","0 to 10 years","Death","Sandy",""
"1lahdfsdf","new york","down street","no species","17","17777","0000-00-00","no comments","81 years to 100 years","Healthy","Clay",""
"sdfdfdf","new york","down street","no species","17","17777","0000-00-00","no comments","0 to 10 years","Weak","Clay",""
"188","50 Playfair Road #05-03 Noel Building Singapore 367995","Macpherson Jurong Town Hall Yeah Lah","spec","100","10","0000-00-00","Comments","51 years to 80 years","Healthy","Sandy",""
"DC1ccxd","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"1","ujjvj","kjbb","jvjvj","77","jbjbj","0000-00-00","jjjbvj","11 to 30 years","Healthy","Sandy",""
"12","Address","Location","S","123","12","0000-00-00","Comments","0 to 10 years","Healthy","Clay",""
"1245","Address","Location","Species","1234","123","0000-00-00","Comments","81 years to 100 years","Death","Sandy",""
"QA","qa","qa","qa","10","10","0000-00-00","qa","0 to 10 years","Vitality","Clay",""
"DC00d9","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"dddd999","Raiya Road,Rajkot","Rajkot","Pinus radiata","4","525","0000-00-00","Remove deadwood 100mm and larger.","51 years to 80 years","Healthy","Clay",""
"a1lahloh","ggr","gfg","gffg","3332","3434","0000-00-00","gfg","0 to 10 years","Healthy","Sandy",""
"dd98","Raiya Road,Rajkot","Rajkot","Pinus radiata","4","525","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"aa1lah","hgh","ghgh","hggh","34434","3455","0000-00-00","hggh","0 to 10 years","Healthy","Clay",""
"1lah","new york","down street","no species","7","18","0000-00-00","no comments","11 to 30 years","Healthy","Clay",""
"German Oak","Musterstraße 31","Berlin, Germany","German Oak","200","150","0000-00-00","The leaves are turning red","31 to 50 years","Healthy","Clay",""
"16122021_02","lilavanti community hall, Kothariya","Rajkot","Mango","10","10","0000-00-00","Insect are too much","0 to 10 years","Healthy","Clay",""
"16122021_01","lilavanti community hall, Kothariya","rajkot","Palm treeeeeeeee","21","1201","0000-00-00","Need to visit for better diagnosis","Above 100 years","Death","Sandy",""
"ask","fdfd","ffd","fddf","12","dffd","0000-00-00","fdddffffff","Age Range","Vitality","Soil Type",""
"nnnn","Raiya Road,Rajkot","Rajkot","f","4","525","0000-00-00","Remove deadwood 100mm and larger.","31 years to 50 years","Weak","Silty",""
"q11","dfd","dfd","dfdf","23","ffd","0000-00-00","fddf","11 to 30 years","Healthy","Clay",""
"q1","ggfg","gfg","gfgf","1","ggh","0000-00-00","fg","0 to 10 years","Healthy","Sandy",""
"zz111","Raiya Road,Rajkot","Rajkot","Pinus radiata","4","4","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Sandy",""
"zz11","Raiya Road,Rajkot","Rajkot","Pinus radiata","4","4","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Sandy",""
"fddf","fddf","fdfd","fd","2","ddf","0000-00-00","ffd","11 to 30 years","Healthy","Sandy",""
"aas","Raiya Road,Rajkot","Rajkot","f","70","525","0000-00-00","Remove deadwood 100mm and larger.","11 to 30 years","Weak","Clay",""
"aa","Raiya Road,Rajkot","Rajkot","4","15","4","0000-00-00","Remove deadwood 100mm and larger.","81 years to 100 years","Healthy","Sandy",""
"mjh","jhhj","jjh","jjh","12","jjh","0000-00-00","jhjh","0 to 10 years","Healthy","Sandy",""
"f","fdfd","fggf","gfg","1","fdf","0000-00-00","fdfd","0 to 10 years","Healthy","Sandy",""
"dfdffdd","gghhg","hggh","hggh","10","hghg","0000-00-00","ghgh","0 to 10 years","Healthy","Clay",""
"aa1","ghgh","ghgh","ghgh","1","ghhg","0000-00-00","hghg","0 to 10 years","Healthy","Sandy",""
"zv","fgfgfg","gffg","gfg","300.01","gfgf","0000-00-00","hggh","1 to 10 years","Weak","Chalky",""
"za","jfdjfdbjdf","fddfj","vhfjdf","70.01","jfkdfbfkj","0000-00-00","gffg","1 to 10 years","Healthy","Clay",""
"jjvjhv","jbkbbnk","kkk","kkbk","100","88","0000-00-00","klnknk","0 to 10 years","Healthy","Sandy",""
"1dm","Raiya Road","Rajkot","Pinus radiata","75","525","0000-00-00","Remove deadwood 100mm and larger.","81 years to 100 years","Healthy","Sandy",""
"sssssss","Raiya Road,Rajkot","Rajkot","Pinus radiata","50.01","525","0000-00-00","Remove deadwood 100mm and larger.","Above 100 years","Healthy","Sandy",""
"a9","Raiya Road,Rajkot","Rajkot","f","300","525","0000-00-00","4","51 years to 80 years","Unsafe","Silty",""
"a7","Botanic Garden","Botanic Garden","Deciduous trees","0","8","0000-00-00","Good","0 to 10 years","Healthy","Sandy",""
"a6","gghhg","h","hgh","30.02","hgghg","0000-00-00","hghg","0 to 10 years","Healthy","Clay",""
"a5","ghgg","hyvhv","gchc","50","fdfd","0000-00-00","fdf","0 to 10 years","Healthy","Clay",""
"mm","Raiya Road,Rajkot","Rajkot","Pinus radiata","20","525","0000-00-00","Remove deadwood 100mm and larger.","31 years to 50 years","Weak","Chalky",""
"a4","MBS","In the Shopping mall","Coniferous trees","500","50.01","0000-00-00","tree turn green","31 years to 50 years","Healthy","Sandy",""
"fgfgfg","gfg","gfgf","gffg","50","gffg","0000-00-00","gffg","11 to 30 years","Healthy","Sandy",""
"a3","fdfd","fdd","fddf","50","fdfd","0000-00-00","fddf","Age Range","Weak","Sandy",""
"111","Raiya Road,Rajkot","4","q","70","f","0000-00-00","Remove deadwood 100mm and larger.","81 years to 100 years","Unsafe","Sandy",""
"fdfddf","fdd","fddf","fddf","68","dvd","0000-00-00","fddf","0 to 10 years","Healthy","Sandy",""
"ffggf","fgfg","gfgf","gffg","0","fgffgd","0000-00-00","fgfg","31 years to 50 years","Healthy","Sandy",""
"a2","bvbv","bb","nbn","1","khfdkdhf","0000-00-00","ihidgh","31 years to 50 years","Healthy","Sandy",""
"a1","dfddff","fdffd","fddf","8","ddfdf","0000-00-00","fdfddffdfd djdffdjfdjdf dfjdfjgjdgj jfdfddj","31 years to 50 years","Healthy","Sandy",""
"11","Raiya Road,Rajkot","Rajkot","sdas","5","q","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Healthy","Silty",""
"1111","Raiya Road,Rajkot","sd","Pinus radiata","4","4","0000-00-00","e","11 to 30 years","Healthy","Peaty",""
"1111z111","Raiya Road,Rajkot","Rajkot","Pinus radiata","70","q","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Sandy",""
"1111z11","Raiya Road,Rajkot","Rajkot","Pinus radiata","70","q","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Sandy",""
"1111z1","Raiya Road,Rajkot","Rajkot","Pinus radiata","70","q","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Sandy",""
"1111aa","Navrangpura swstic 4 rasta,Ahemdabad","Rajkot","4","50","4","0000-00-00","f","31 years to 50 years","Unsafe","Silty",""
"1111a","Navrangpura swstic 4 rasta,Ahemdabad","Rajkot","4","50","4","0000-00-00","f","31 years to 50 years","Unsafe","Silty",""
"qq","ghhghg","hggh","hggh","5","5","0000-00-00","hg","31 years to 50 years","Healthy","Chalky",""
"684456","gfgfd","ghghghg","ggg","1","1","0000-00-00","gffg","Above 100 years","Healthy","Sandy",""
"nnx","Raiya Road,Rajkot","4","Pinus radiata","15","525","0000-00-00","4","81 years to 100 years","Unsafe","Sandy",""
"nn","Raiya Road,Rajkot","4","Pinus radiata","15","525","0000-00-00","4","81 years to 100 years","Unsafe","Sandy",""
"DC005bbb111","Raiya Road,Rajkot","4","Pinus radiata","15","525","0000-00-00","4","81 years to 100 years","Unsafe","Sandy",""
"DC005bbb","Raiya Road,Rajkot","4","Pinus radiata","15","525","0000-00-00","4","81 years to 100 years","Unsafe","Sandy",""
"DC004","50 playfair road #05-03 Noel Building Singapore 367995","Macpherson Jurong Town Hall Yeah Lah","species","100","1","0000-00-00","leaves dropping","0 to 10 years","Healthy","Clay",""
"1aann","lilavanti community hall, Kothariya","rajkot","Palm treeeeeeeee","21","120","0000-00-00","Need to visit for better diagnosis","11 to 30 years","Weak","Sandy",""
"1aa","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger.","51 years to 80 years","Weak","Clay",""
"DC001zz","Raiya Road","aa","q","4","525","0000-00-00","f","51 years to 80 years","Weak","Sandy",""
"zz","SG Ring Road","Rajkot","f","15","525","0000-00-00","e","11 to 30 years","Weak","Sandy",""
"11xx","Navrangpura swstic 4 rasta,Ahemdabad","aaa","sdas","15","525","0000-00-00","f","81 years to 100 years","Death","Peaty",""
"DCkkk","Raiya Road,Rajkot","sd","Pinus radiata","15","4","0000-00-00","q","11 to 30 years","Healthy","Sandy",""
"1112222","sdkdmcka","Rajkot","4","0","525","0000-00-00","Remove deadwood 100mm and larger.","11 to 30 years","Weak","Peaty",""
"dfhd","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","e","0000-00-00","Remove deadwood 100mm and larger.","11 to 30 years","Unsafe","Sandy",""
"ewewewew","fdddf","fddfdf","fdfddf","0","fddfdf","0000-00-00","fddfdf","0 to 10 years","Healthy","Clay",""
"lklkzz","Singapore","Singapore Botanic Gardens","Abies alba","10","2","0000-00-00","Need to water","31 years to 50 years","Healthy","Sandy",""
"bnbv","Green Heart  Garden","Marina One Green Heart  Garden","Beech","8","3","0000-00-00","Remove deadwood 100mm and larger.","11 to 30 years","Weak","Peaty",""
"lklk","SG Ring Road","Bali Gates of Heaven","Pedunculate Oak","15","50","0000-00-00","4","11 to 30 years","Vitality","Sandy",""
"mmm","Macritchie Reservoir","Macritchie Reservoir","American basswood -- Tilia americana","15","6","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Healthy","Sandy",""
"dmdm","Navrangpura swstic 4 rasta,Ahemdabad","Rajkot","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger.","81 years to 100 years","Unsafe","Clay",""
"DC001mm","SDJskdjl","Rajkot","Pinus radiata","0","q","0000-00-00","4","81 years to 100 years","Death","Clay",""
"sdsd","SDJskdjl","aaa","f","0","f","0000-00-00","Remove deadwood 100mm and larger.","51 years to 80 years","Weak","Sandy",""
"198","add","loc","spec","10","30","0000-00-00","hhchvcvj","Age Range","Healthy","Soil Type",""
"ll","h","h","h","0","h","0000-00-00","h","0 to 10 years","Weak","Clay",""
"DC0001er","rajkotm","raiya road","Pinus radiata","5","525","0000-00-00","Remove deadwood 100mm and larger","31 years to 50 years","Weak","Silty",""
"DC000189","rajkot","raiya road","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger","0 to 10 years","Healthy","Clay",""
"Dc00020","rajkot","Gujrat","Pinus","15","525","0000-00-00","Remove deadwood","31 years to 50 years","Weak","Silty",""
"Dc00038","rajkot","Gujrat","Pinus","10","525","0000-00-00","Remove deadwood","11 years to 30 years","Weak","Sandy",""
"DC00040","rajkot","raiya road","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger","51 years to 80 years","Death","Chalky",""
"Dc00058","rajkot","Gujrat","Pinus","15","525","0000-00-00","Remove deadwood","31 years to 50 years","Healthy","Chalky",""
"DC00067","rajkot","raiya road","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger","51 years to 80 years","Healthy","Loamy",""
"DC00012","rajkot","raiya road","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger","0 to 10 years","Healthy","Clay",""
"Dc00023","rajkot","Gujrat","Pinus","15","525","0000-00-00","Remove deadwood","31 years to 50 years","Weak","Silty",""
"Dc00032","rajkot","Gujrat","Pinus","15","525","0000-00-00","Remove deadwood","31 years to 50 years","Weak","Sandy",""
"88","50 Playfair Road #05-03 Noel Building Singapore 367995","loc","a","13","55","0000-00-00","lah","0 to 10 years","Healthy","Silty",""
"DC1ccx","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"D00556","rajkot","raiya road","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger","51 years to 80 years","Weak","Clay",""
