"TreeId","Address","Location","Species","Height","Trunk Diameter","Defects","Comments","Age Range","Vitality","Soil Type","Tree Image"
"88","a","loc","spe","he","18","hghg","hghg","Age Range","Vitality","Soil Type",",7631treesImage.jpg"
"DC002czs","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"DC1cvccx","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",",7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg,5821treesImage.jpg,1311treesImage.jpg,8890treesImage.jpg,9650treesImage.jpg"
"DC1ccx","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",",7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg,5821treesImage.jpg,1311treesImage.jpg,8890treesImage.jpg,9650treesImage.jpg"
"ddsxcn3","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Healty","Peaty",",bsmall24.JPG"
"DC001ccx","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",",7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg,5821treesImage.jpg,1311treesImage.jpg,8890treesImage.jpg,9650treesImage.jpg"
"DC001cc","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",",7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg,5821treesImage.jpg,1311treesImage.jpg,8890treesImage.jpg,9650treesImage.jpg"
"765hdrff","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Vitality","Peaty",",bsmall24.JPG,134treesImage.jpg,1971treesImage.jpg,3982treesImage.jpg"
"765hrff","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Vitality","Peaty",",bsmall24.JPG,134treesImage.jpg,1971treesImage.jpg,3982treesImage.jpg"
"765hr","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Vitality","Peaty",",bsmall24.JPG,134treesImage.jpg,1971treesImage.jpg,3982treesImage.jpg"
